time_ind,spatial_ind,n_i,v_i,T_e,n_nI
0,90,1.19653e+17,18080.8,7.00763,3.78253e+17,6.8793
0,91,1.19653e+17,18368.6,6.939,3.78253e+17,6.8793
0,92,1.19653e+17,18656.5,6.87296,3.78253e+17,6.8793
0,93,1.19653e+17,18944.4,6.80936,3.78253e+17,6.8793
0,94,1.19653e+17,19232.3,6.7481,3.78253e+17,6.8793
0,95,1.19653e+17,19520.2,6.68909,3.78253e+17,6.8793
0,96,1.19653e+17,19808.2,6.63227,3.78253e+17,6.8793
0,97,1.19653e+17,20096.2,6.57761,3.78253e+17,6.8793
0,98,1.19653e+17,20384.1,6.52508,3.78253e+17,6.8793
0,99,1.2e+17,20418.6,4.98106,3.78254e+17,6.8793
1,0,1.26479e+17,-1484.81,3.00074,3.62314e+19,7.07713
1,1,2.55672e+17,-1473.42,3.29658,3.78225e+19,7.07713
1,2,2.81182e+17,-1450.49,3.32547,3.78257e+19,7.07713
1,3,3.09425e+17,-1419.29,3.34843,3.78257e+19,7.07713
1,4,3.41014e+17,-1376.12,3.36945,3.78258e+19,7.07713
1,5,3.76017e+17,-1320.97,3.38902,3.78258e+19,7.07713
1,6,4.14433e+17,-1253.86,3.40751,3.78259e+19,7.07713
1,7,4.5618e+17,-1174.8,3.42529,3.78259e+19,7.07713
1,8,5.0109e+17,-1083.8,3.44281,3.7826e+19,7.07713
1,9,5.48899e+17,-980.891,3.46054,3.7826e+19,7.07713
1,10,5.99244e+17,-866.072,3.47895,3.7826e+19,7.07713
1,11,6.51661e+17,-739.361,3.49849,3.78261e+19,7.07713
1,12,7.05587e+17,-600.773,3.51967,3.7826e+19,7.07713
1,13,7.60368e+17,-450.323,3.54302,3.78259e+19,7.07713
1,14,8.15265e+17,-288.029,3.56913,3.78253e+19,7.07713
1,15,8.69474e+17,-113.905,3.59868,3.78238e+19,7.07713
1,16,9.22141e+17,72.0323,3.63243,3.78198e+19,7.07713
1,17,9.72383e+17,269.767,3.67123,3.78092e+19,7.07713
1,18,1.01931e+18,479.287,3.7161,3.77815e+19,7.07713
1,19,1.06207e+18,700.587,3.7682,3.77091e+19,7.07713
1,20,1.09983e+18,933.683,3.82893,3.75213e+19,7.07713
1,21,1.13185e+18,1178.63,3.90013,3.70397e+19,7.07713
1,22,1.15748e+18,1435.62,3.98441,3.58387e+19,7.07713
1,23,1.17618e+18,1705.05,4.0859,3.30443e+19,7.07713
1,24,1.18755e+18,1987.78,4.21065,2.74696e+19,7.07713
1,25,1.19135e+18,2284.72,4.36406,1.912e+19,7.07713
1,26,1.18748e+18,2595.37,4.54195,1.07648e+19,7.07713
1,27,1.1761e+18,2917.03,4.73087,5.1791e+18,7.07713
1,28,1.15747e+18,3248.28,4.92622,2.37589e+18,7.07713
1,29,1.13197e+18,3589.75,5.13428,1.1703e+18,7.07713
1,30,1.10011e+18,3942.44,5.36216,6.86579e+17,7.07713
1,31,1.06255e+18,4307.04,5.61437,4.97937e+17,7.07713
1,32,1.02002e+18,4683.93,5.89368,4.25174e+17,7.07713
1,33,9.73343e+17,5073.38,6.20217,3.9721e+17,7.07713
1,34,9.23376e+17,5475.63,6.54191,3.8646e+17,7.07713
1,35,8.70999e+17,5890.91,6.91547,3.82306e+17,7.07713
1,36,8.17087e+17,6319.47,7.32633,3.80675e+17,7.07713
1,37,7.62484e+17,6761.6,7.7795,3.80008e+17,7.07713
1,38,7.07984e+17,7217.58,8.28212,3.79708e+17,7.07713
1,39,6.54314e+17,7687.74,8.84445,3.79547e+17,7.07713
1,40,6.02118e+17,8172.42,9.48087,3.79438e+17,7.07713
1,41,5.51952e+17,8671.95,10.2111,3.79351e+17,7.07713
1,42,5.04271e+17,9186.66,11.0612,3.79272e+17,7.07713
1,43,4.59434e+17,9716.83,12.0651,3.79199e+17,7.07713
1,44,4.17701e+17,10262.6,13.2641,3.7913e+17,7.07713
1,45,3.79239e+17,10824.2,14.7068,3.79065e+17,7.07713
1,46,3.44132e+17,11401.5,16.4461,3.79006e+17,7.07713
1,47,3.12384e+17,11994,18.5332,3.78951e+17,7.07713
1,48,2.83934e+17,12601.4,21.0085,3.78902e+17,7.07713
1,49,2.5878e+17,13203.3,24.9932,3.78857e+17,7.07713
1,50,2.64156e+17,8002.52,29.1673,3.7887e+17,7.07713
1,51,2.19005e+17,6915.2,13.768,3.78236e+17,7.07713
1,52,1.99479e+17,7139.95,14.1648,3.78237e+17,7.07713
1,53,1.85242e+17,7434.3,14.6466,3.78238e+17,7.07713
